"filename", "language", "Properties", "Batch", "Python", "PowerShell", "Markdown", "PostCSS", "JavaScript", "XML", "C", "Shell Script", "Django HTML", "reStructuredText", "comment", "blank", "total"
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\sessions.py", "Python", 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 64, 422
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\signals.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 57
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\templating.py", "Python", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 40, 213
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\testing.py", "Python", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 47, 302
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\typing.py", "Python", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 81
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\views.py", "Python", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 27, 189
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\wrappers.py", "Python", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 31, 172
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\__init__.py", "Python", 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 506, 170, 1176
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\_adapters.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 11, 136
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\_collections.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 35
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\_compat.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 13, 57
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\_functools.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 10, 105
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\_itertools.py", "Python", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 18, 172
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\_meta.py", "Python", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 72
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\_text.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 14, 100
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\_typing.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 16
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\compat\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\compat\py311.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 23
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\compat\py39.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 43
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\importlib_metadata\diagnose.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\itsdangerous\__init__.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\itsdangerous\_json.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\itsdangerous\encoding.py", "Python", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 55
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\itsdangerous\exc.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 25, 107
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\itsdangerous\serializer.py", "Python", 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 53, 407
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\itsdangerous\signer.py", "Python", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 51, 267
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\itsdangerous\timed.py", "Python", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 37, 229
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\itsdangerous\url_safe.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 84
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\__init__.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 39
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\_identifier.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\async_utils.py", "Python", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32, 100
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\bccache.py", "Python", 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 53, 409
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\compiler.py", "Python", 0, 0, 1445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 258, 296, 1999
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\constants.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 21
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\debug.py", "Python", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 32, 192
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\defaults.py", "Python", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 49
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\environment.py", "Python", 0, 0, 858, 0, 0, 0, 0, 0, 0, 0, 0, 0, 631, 184, 1673
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\exceptions.py", "Python", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 41, 167
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\ext.py", "Python", 0, 0, 558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 133, 871
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\filters.py", "Python", 0, 0, 882, 0, 0, 0, 0, 0, 0, 0, 0, 0, 706, 286, 1874
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\idtracking.py", "Python", 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 74, 319
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\lexer.py", "Python", 0, 0, 494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 267, 108, 869
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\loaders.py", "Python", 0, 0, 378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 214, 102, 694
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\meta.py", "Python", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 18, 113
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\nativetypes.py", "Python", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 29, 131
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\nodes.py", "Python", 0, 0, 628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 275, 304, 1207
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\optimizer.py", "Python", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 49
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\parser.py", "Python", 0, 0, 852, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 107, 1050
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\runtime.py", "Python", 0, 0, 617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 262, 184, 1063
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\sandbox.py", "Python", 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 59, 437
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\tests.py", "Python", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 54, 257
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\utils.py", "Python", 0, 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 309, 96, 767
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\jinja2\visitor.py", "Python", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 18, 93
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\markupsafe\__init__.py", "Python", 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 92, 397
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\markupsafe\_native.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\markupsafe\_speedups.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 1, 23, 201
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\markupsafe\_speedups.pyi", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\__init__.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 14
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\__main__.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 32
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\__init__.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 20
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\build_env.py", "Python", 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 38, 295
